SMGP image keys — smgp-1
Drop a DRIVER PORTRAIT (your art) as portraits\<driverId>.jpg (or .png).
The CAR preview (cars\<driverId>.png) is extracted from the livery by this tool.

Livery                         Driver               portrait file
Azalea #34 M. Larssen          Mika Larssen         portraits\driver.mika_larssen.jpg
Bestowal #7 A. Picos           Alex Picos           portraits\driver.alex_picos.jpg
Bestowal #8 M. Blume           Michael Blume        portraits\driver.michael_blume.jpg
Blanche #10 P. White           Paul White           portraits\driver.paul_white.jpg
Blanche #9 J. Herbin           Jean Herbin          portraits\driver.jean_herbin.jpg
Bullets #17 G. Ceara           Gilberto Ceara       portraits\driver.gilberto_ceara.jpg
Comet #29 E. Tornio            Ethan Tornio         portraits\driver.ethan_tornio.jpg
Cool #28 A. Delvaux            Alef Delvaux         portraits\driver.alef_delvaux.jpg
Dardan #18 E. Bellini          Eddie Bellini        portraits\driver.eddie_bellini.jpg
Dardan #19 K. Alfven           Keke Alfven          portraits\driver.keke_alfven.jpg
Feet #24 J. Rampal             Jean Rampal          portraits\driver.jean_rampal.jpg
Firenze #3 F. Elsser           Felipe Elssler       portraits\driver.felipe_elssler.jpg
Firenze #4 I. Germi            Ivanazzio Germi      portraits\driver.ivanazzio_germi.jpg
Iris #33 B. Salgado            Bruno Salgado        portraits\driver.bruno_salgado.jpg
Joke #16 L. Dufay              Luca Dufay           portraits\driver.luca_dufay.jpg
Lares #23 P. Arai              Park Arai            portraits\driver.park_arai.jpg
Linden #22 M. Moreau           Marcel Moreau        portraits\driver.marcel_moreau.jpg
Losel #13 E. Pacheco           Esteban Pacheco      portraits\driver.esteban_pacheco.jpg
Losel #14 W. Dehehe            Willian Dehehe       portraits\driver.willian_dehehe.jpg
Madonna #1 A. Senna            Ayrton Senna         portraits\driver.ayrton_senna.jpg
Madonna #2 A. Asselin          Alain Asselin        portraits\driver.alain_asselin.jpg
May #15 G. Turner              George Turner        portraits\driver.george_turner.jpg
Millions #5 N. Jones           Nigel Jones          portraits\driver.nigel_jones.jpg
Millions #6 G. Alberti         Giorgio Alberti      portraits\driver.giorgio_alberti.jpg
Minarae #20 B. Miller          Bernie Miller        portraits\driver.bernie_miller.jpg
Minarae #21 J. Nono            Julianno Nono        portraits\driver.julianno_nono.jpg
Moon #30 K. Yepes              Kevin Yepes          portraits\driver.kevin_yepes.jpg
Orchis #31 C. Tegner           Christopher Tegner   portraits\driver.christopher_tegner.jpg
Rigel #26 R. Cotman            Ryan Cotman          portraits\driver.ryan_cotman.jpg
Rigel #27 T. Chardin           Tristan Chardin      portraits\driver.tristan_chardin.jpg
Serga #25 E. Sambena           Eric Sambena         portraits\driver.eric_sambena.jpg
Tyrant #11 M. Hamano           Miyagi Hamano        portraits\driver.miyagi_hamano.jpg
Tyrant #12 G. Gould            Gilles Gould         portraits\driver.gilles_gould.jpg
Zeroforce #32 P. Kilnger       Paul Klinger         portraits\driver.paul_klinger.jpg
