"ContentId","StableId","ContentType","ContentSubtype","SourceKind","SeasonId","SeasonNumber","UniverseYearOrDate","RaceOrEventId","DriverId","TeamId","StoryThreadId","Title","ContentProvenance","ExpectedAssetId","ConfiguredAssetPath","ResolvedPhysicalFile","CurrentFallbackPath","UiSurfaces","Ships","ReachableInUi","ImageWidth","ImageHeight","AspectRatio","FileFormat","FileSizeBytes","HasAlpha","DecodeStatus","BuildCopyStatus","PublishPackageStatus","Sha256","PerceptualHash","ExactReuseCount","NearDuplicateReuseCount","ExactDuplicateGroup","NearDuplicateGroup","PlaceholderDetectionReason","CurrentAuditStatus","Severity","RecommendedAction","NewArtRequired","Notes","SourceFile","SourceLocator"
"history-era:three-litre-dfv","three-litre-dfv","HISTORY","AUTHORED_ERA","AUTHORED","shared","","1967-1976","","","","","The Three-Litre DFV Years","verifiedHistorical","history-era:three-litre-dfv","dynamic era-art by YearsLabel/start year","data/ams2/era-art/1967.jpg","Era medium image shared across multiple archive eras","History featured era; era browser","True","True","1672","941","1.7768","png","2626771","False","OK","LOOSE_COPY_DECLARED","MISSING_FROM_PUBLISH","b813253d7c00913b99da93e88696778e8da57c674f87c446cc24958d5e24509a","0101000101110100011001100011010100111110010110010101001001110000","1","","","","","GENERIC_FALLBACK|UNINTENTIONAL_REUSE|PROVENANCE_REVIEW","P2","Stage B: create a dedicated era image keyed by era ID, with documented source/provenance and History-safe crop.","True","The current converter infers a year from display text and can reuse a generic medium image; there is no era-ID art registry.","data/history/eras.json","eras[key=three-litre-dfv]"
"history-era:ground-effect","ground-effect","HISTORY","AUTHORED_ERA","AUTHORED","shared","","1977-1982","","","","","Ground Effect and the Turbo Dawn","verifiedHistorical","history-era:ground-effect","dynamic era-art by YearsLabel/start year","data/ams2/era-art/telegram.jpg","Era medium image shared across multiple archive eras","History featured era; era browser","True","True","1280","720","1.7778","jpg","43402","False","OK","LOOSE_COPY_DECLARED","MATCHES_SOURCE","a86df0f1772d33a8a3fe9e6d345b757a446c3b3f2174487dad30eb928c1f97ca","0100011001000110010000100110001001011000011100000111000001000110","1","","","","","GENERIC_FALLBACK|UNINTENTIONAL_REUSE","P2","Stage B: create a dedicated era image keyed by era ID, with documented source/provenance and History-safe crop.","True","The current converter infers a year from display text and can reuse a generic medium image; there is no era-ID art registry.","data/history/eras.json","eras[key=ground-effect]"
"history-era:turbo-era","turbo-era","HISTORY","AUTHORED_ERA","AUTHORED","shared","","1983-1988","","","","","The Turbo Era","verifiedHistorical","history-era:turbo-era","dynamic era-art by YearsLabel/start year","data/ams2/era-art/1983.jpg","Era medium image shared across multiple archive eras","History featured era; era browser","True","True","1672","941","1.7768","jpg","516361","False","OK","LOOSE_COPY_DECLARED","MATCHES_SOURCE","b3399ec381a8a3222db43872f5f9cd0376bc3a72dde9eacb24a924d995503e7b","0110000101100001011000110100011000000111010000010001101000001010","1","","","","","GENERIC_FALLBACK|UNINTENTIONAL_REUSE|PROVENANCE_REVIEW","P2","Stage B: create a dedicated era image keyed by era ID, with documented source/provenance and History-safe crop.","True","The current converter infers a year from display text and can reuse a generic medium image; there is no era-ID art registry.","data/history/eras.json","eras[key=turbo-era]"
"history-era:na-return-electronics","na-return-electronics","HISTORY","AUTHORED_ERA","AUTHORED","shared","","1989-1993","","","","","The Naturally Aspirated Return and the Electronics Age","verifiedHistorical","history-era:na-return-electronics","dynamic era-art by YearsLabel/start year","data/ams2/era-art/fax.jpg","Era medium image shared across multiple archive eras","History featured era; era browser","True","True","1280","720","1.7778","jpg","44773","False","OK","LOOSE_COPY_DECLARED","MATCHES_SOURCE","fb955459463a9dba3be2d8b2eb49bf75d9ea0fd74fedd294788affe73e7b60e3","0100001001110000011001100100011001000110010001100100011001001110","1","","","","","GENERIC_FALLBACK|UNINTENTIONAL_REUSE","P2","Stage B: create a dedicated era image keyed by era ID, with documented source/provenance and History-safe crop.","True","The current converter infers a year from display text and can reuse a generic medium image; there is no era-ID art registry.","data/history/eras.json","eras[key=na-return-electronics]"
"history-era:refuelling-era","refuelling-era","HISTORY","AUTHORED_ERA","AUTHORED","shared","","1994-2005","","","","","The Refuelling Era","verifiedHistorical","history-era:refuelling-era","dynamic era-art by YearsLabel/start year","data/ams2/era-art/email.jpg","Era medium image shared across multiple archive eras","History featured era; era browser","True","True","1280","720","1.7778","jpg","39966","False","OK","LOOSE_COPY_DECLARED","MATCHES_SOURCE","eb24312d0918fbdcb942e3d1f60f7cfabf20be2bdcf735468f034ed08f72864e","0000000000000000000100000000011001000110010011100000111000000010","3","","","","","GENERIC_FALLBACK|UNINTENTIONAL_REUSE","P2","Stage B: create a dedicated era image keyed by era ID, with documented source/provenance and History-safe crop.","True","The current converter infers a year from display text and can reuse a generic medium image; there is no era-ID art registry.","data/history/eras.json","eras[key=refuelling-era]"
"history-era:v8-era","v8-era","HISTORY","AUTHORED_ERA","AUTHORED","shared","","2006-2013","","","","","The V8 Era","verifiedHistorical","history-era:v8-era","dynamic era-art by YearsLabel/start year","data/ams2/era-art/2006.jpg","Era medium image shared across multiple archive eras","History featured era; era browser","True","True","1672","941","1.7768","png","2616513","False","OK","LOOSE_COPY_DECLARED","MISSING_FROM_PUBLISH","8d5a507cff4d0ed093986244fd0c4887875e9dde059747df0baf4640cfe4235b","0011101100111001010000100001101001110100010001000010000001000010","1","","","","","GENERIC_FALLBACK|UNINTENTIONAL_REUSE|PROVENANCE_REVIEW","P2","Stage B: create a dedicated era image keyed by era ID, with documented source/provenance and History-safe crop.","True","The current converter infers a year from display text and can reuse a generic medium image; there is no era-ID art registry.","data/history/eras.json","eras[key=v8-era]"
"history-era:hybrid-era","hybrid-era","HISTORY","AUTHORED_ERA","AUTHORED","shared","","2014-2021","","","","","The Hybrid Era","verifiedHistorical","history-era:hybrid-era","dynamic era-art by YearsLabel/start year","data/ams2/era-art/email.jpg","Era medium image shared across multiple archive eras","History featured era; era browser","True","True","1280","720","1.7778","jpg","39966","False","OK","LOOSE_COPY_DECLARED","MATCHES_SOURCE","eb24312d0918fbdcb942e3d1f60f7cfabf20be2bdcf735468f034ed08f72864e","0000000000000000000100000000011001000110010011100000111000000010","3","","","","","GENERIC_FALLBACK|UNINTENTIONAL_REUSE","P2","Stage B: create a dedicated era image keyed by era ID, with documented source/provenance and History-safe crop.","True","The current converter infers a year from display text and can reuse a generic medium image; there is no era-ID art registry.","data/history/eras.json","eras[key=hybrid-era]"
"history-era:ground-effect-reset","ground-effect-reset","HISTORY","AUTHORED_ERA","AUTHORED","shared","","2022-2026","","","","","The Ground-Effect Reset","verifiedHistorical","history-era:ground-effect-reset","dynamic era-art by YearsLabel/start year","data/ams2/era-art/email.jpg","Era medium image shared across multiple archive eras","History featured era; era browser","True","True","1280","720","1.7778","jpg","39966","False","OK","LOOSE_COPY_DECLARED","MATCHES_SOURCE","eb24312d0918fbdcb942e3d1f60f7cfabf20be2bdcf735468f034ed08f72864e","0000000000000000000100000000011001000110010011100000111000000010","3","","","","","GENERIC_FALLBACK|UNINTENTIONAL_REUSE","P2","Stage B: create a dedicated era image keyed by era ID, with documented source/provenance and History-safe crop.","True","The current converter infers a year from display text and can reuse a generic medium image; there is no era-ID art registry.","data/history/eras.json","eras[key=ground-effect-reset]"
"history-subject:circuit-safety-and-barriers","circuit-safety-and-barriers","HISTORY","AUTHORED_HISTORY_SUBJECT","AUTHORED","shared","","1967-","safety","","","","Barriers, Run-Off and the Reshaping of the Circuits","verifiedHistorical","","","","Text-only subject card by current design","History subject browser; verified timeline; unified archive search","True","True","","","","","","","INTENTIONALLY_IMAGELESS","NOT_APPLICABLE","NOT_APPLICABLE","","","","","","","","INTENTIONALLY_IMAGELESS","P4","Owner review in Stage B: keep source-led text presentation or add clearly licensed editorial illustration.","False","No raster art field exists; this is not counted as broken.","data/history/subjects.json","subjects[id=circuit-safety-and-barriers]"
"history-subject:helmets-and-fire-protection","helmets-and-fire-protection","HISTORY","AUTHORED_HISTORY_SUBJECT","AUTHORED","shared","","1967-","safety","","","","Helmets, Overalls and the War on Fire","verifiedHistorical","","","","Text-only subject card by current design","History subject browser; verified timeline; unified archive search","True","True","","","","","","","INTENTIONALLY_IMAGELESS","NOT_APPLICABLE","NOT_APPLICABLE","","","","","","","","INTENTIONALLY_IMAGELESS","P4","Owner review in Stage B: keep source-led text presentation or add clearly licensed editorial illustration.","False","No raster art field exists; this is not counted as broken.","data/history/subjects.json","subjects[id=helmets-and-fire-protection]"
